seq,first,last,age,street,city,state,zip,dollar,pick,date
1280,Vincent,Boone,38,Sehmak Ridge,Remaeru,WV,78340,$9025.54,WHITE,07/28/2011
1281,Shane,Salazar,48,Seoto Point,Abokoeb,ND,09991,$1781.34,WHITE,11/27/2041
1282,Lenora,Wise,28,Obice Avenue,Gohage,MO,03237,$9642.14,YELLOW,09/26/1934
1283,Rosalie,Powers,42,Nalrud Pass,Kalesri,IN,70732,$2159.98,GREEN,01/01/1906
1284,Earl,Ramos,39,Elovin View,Osofvo,HI,70381,$7196.12,BLUE,01/23/2040
1285,Daniel,Hudson,57,Kuztom Loop,Raeshab,NV,43701,$1333.49,GREEN,09/17/2012
1286,Jesse,Wilkins,33,Ediufa Ridge,Sojelil,ME,19288,$1550.85,RED,06/18/1942
1287,Theresa,Rogers,31,Arkoz Glen,Fivpuovu,UT,26598,$967.90,GREEN,04/18/1951
1288,Susie,Harris,53,Hohoj Drive,Opubowug,CO,32508,$1082.07,YELLOW,01/09/1933
1289,Alvin,Fowler,61,Jehku Turnpike,Jomite,WV,40294,$8414.65,BLUE,05/23/2051
1290,Amelia,Strickland,63,Raneci Plaza,Nawfihvef,UT,74817,$2205.44,GREEN,12/28/1906
1291,Alice,Curry,41,Gapa Pike,Itlibib,MT,97094,$9164.37,GREEN,06/20/2037
1292,Beulah,Jefferson,43,Tijbo Path,Bisupris,MO,60995,$83.59,YELLOW,07/16/1973
1293,Sylvia,Fox,22,Gusvi River,Gadfugpu,SD,70038,$4576.68,WHITE,05/08/2016
1294,Evelyn,Blair,35,Tipo Heights,Kusgezi,AK,50414,$5259.86,RED,09/20/1938
1295,Lulu,Clark,49,Tokvam Park,Reekdag,NE,30283,$7223.04,YELLOW,12/26/2048
1296,Mabelle,Lee,56,Susej Trail,Ohsitaz,NM,58565,$4967.70,RED,05/16/1922
1297,Troy,Payne,34,Epigus Park,Kelwifag,MD,72372,$6093.26,YELLOW,08/27/2038
1298,Alfred,Miller,40,Orejof Loop,Bumcaufe,GA,91705,$7688.24,BLUE,07/16/1948
1299,Dustin,Riley,44,Nikor Park,Ipijago,CT,85197,$3940.38,GREEN,02/25/1965
1300,Lydia,Bush,31,Utucu Glen,Ugajeco,CA,35140,$483.65,GREEN,06/10/2055
1301,Augusta,Valdez,62,Ginwoz Trail,Fecozwo,HI,55821,$3896.58,RED,09/08/1994
1302,Annie,Moore,47,Zajhaf Ridge,Tarutton,FL,17283,$6712.42,GREEN,12/08/1942
1303,Maurice,Owen,34,Kofwap Key,Indenano,RI,67816,$5839.31,BLUE,02/18/1985
1304,Jeremiah,Ferguson,52,Nole Point,Gosinid,NH,70125,$1067.29,GREEN,09/17/1946
1305,Paul,Nichols,48,Lenu River,Kilsidhov,IL,02744,$8736.28,GREEN,03/07/1983
1306,Bessie,Fisher,38,Zorsu Plaza,Arameiho,ND,56602,$4525.50,WHITE,10/11/1900
1307,Marvin,McCormick,50,Tofbe Highway,Romsercez,KY,99616,$1250.24,RED,01/29/1985
1308,Rosetta,Guerrero,37,Patig Parkway,Rizumow,GA,74973,$8397.63,BLUE,02/03/1957
1309,Sophie,Jefferson,57,Gugged Pike,Nuwdornom,AL,48278,$8013.16,RED,08/10/1984
1310,Sue,Burns,42,Hebvol Avenue,Vodgude,DE,19871,$1311.89,GREEN,03/17/2019
1311,Owen,Wells,59,Fuzvag Place,Wulahze,DC,40671,$1881.83,BLUE,04/02/1927
1312,Donald,Garza,35,Nehrid Glen,Lufoci,MD,31034,$2156.56,RED,03/19/2057
1313,Ada,Logan,24,Uhbok Extension,Vidveah,TN,58964,$7921.02,RED,10/04/1916
1314,Christopher,Silva,33,Dauji Plaza,Vihetec,NJ,17676,$1646.88,GREEN,12/20/2020
1315,Darrell,Kim,42,Sobec Road,Piwsotbim,MS,35557,$2076.12,RED,09/08/2057
1316,Elsie,Knight,58,Novzow Lane,Mujeike,CT,72088,$9002.31,GREEN,04/28/1900
1317,Claudia,Jacobs,22,Henvil Junction,Sabfaweb,MA,90659,$6731.28,BLUE,10/25/1906
1318,Theodore,Roberts,64,Tepem Ridge,Ihgaman,OH,13882,$9594.25,RED,08/10/1955
1319,Rosie,Palmer,25,Bohuw Pike,Racaego,NC,51603,$5534.06,YELLOW,03/01/1935
1320,Roxie,Crawford,42,Igup Circle,Vadosve,MT,15577,$8717.44,WHITE,04/19/2053
1321,Evelyn,Day,53,Jimpev Parkway,Imzakwo,TN,42116,$1766.08,BLUE,11/27/1967
1322,Bessie,Cunningham,40,Izawif Turnpike,Ipubuwfu,MA,51742,$4220.61,GREEN,06/02/1960
1323,Todd,Lindsey,49,Cada Circle,Waubote,MT,20740,$1254.19,WHITE,06/04/1984
1324,Marc,Robinson,26,Tefo Junction,Suruwpoz,WY,52227,$1070.77,WHITE,09/20/1957
1325,Marian,Casey,33,Ihza Trail,Luzojpo,IN,56000,$429.55,GREEN,06/25/2021
1326,Walter,Chavez,18,Juem Road,Omajozo,AR,33257,$5122.10,RED,04/03/2034
1327,Edgar,Figueroa,46,Juwik Avenue,Uduwieh,PA,57654,$282.63,RED,07/09/1905
1328,Cordelia,Sparks,64,Casib Place,Ruitdaz,RI,53666,$6872.17,BLUE,07/19/2006
1329,Hulda,Davidson,63,Vutsat Turnpike,Uvudakog,KS,92465,$4539.43,BLUE,10/13/1963
1330,Elsie,Fleming,38,Rudi Center,Ralusnal,WI,20521,$2650.96,WHITE,05/04/1910
1331,Eleanor,Stone,26,Izize Terrace,Motucez,VA,07623,$3101.07,RED,06/06/1951
1332,Mike,Gonzalez,23,Mojaf Road,Rizuup,NC,12479,$6495.16,GREEN,11/15/1932
1333,Madge,McDonald,46,Dedze Avenue,Jiseiri,OR,31544,$3613.39,WHITE,10/11/2037
1334,Norman,Hoffman,64,Zumo Square,Kifopis,WY,66178,$2848.93,BLUE,12/26/2018
1335,Virgie,Parsons,36,Dupba Avenue,Sesnumror,KY,68818,$2135.06,RED,04/13/1970
1336,Amy,Guzman,23,Rufbi Park,Nirkaca,OK,52007,$9405.90,WHITE,05/19/2047
1337,Terry,Berry,65,Mouru Pike,Uvahija,TN,48305,$1429.06,BLUE,11/28/1968
1338,Elva,Brown,61,Somjoj Ridge,Ipotajze,MI,20746,$6733.02,GREEN,05/05/1995
1339,Matilda,Rivera,63,Soluk Heights,Lewujho,IN,73171,$8529.29,WHITE,06/19/2070
1340,Addie,Owens,25,Lasop Way,Wajucfa,KY,26503,$1293.77,RED,01/27/2001
1341,Jane,Steele,46,Suwul Drive,Napivbu,LA,04053,$1428.00,BLUE,08/31/2047
1342,Marc,Ryan,51,Ecavo Drive,Ivikeapo,DC,31866,$7129.70,BLUE,01/02/1967
1343,Emilie,Robinson,59,Ciwen Avenue,Acsocje,CA,89189,$3077.60,YELLOW,04/03/2054
1344,Rhoda,Wheeler,47,Utiuw Key,Vutlaguw,UT,85726,$6215.58,GREEN,03/30/2019
1345,Vera,Robinson,46,Kodho Square,Gukcinraf,WY,12271,$2437.97,BLUE,02/01/1943
1346,Jackson,Huff,64,Farza Glen,Wejapud,LA,17364,$4140.56,BLUE,02/23/1929
1347,Caroline,Rodriquez,45,Hado Key,Himaperi,AR,34879,$7073.28,WHITE,02/26/2031
1348,Corey,Newman,43,Anpam Grove,Lemawseb,MA,59964,$7876.19,RED,05/10/1911
1349,Ella,Reynolds,60,Gozza Pike,Udkoli,NH,10182,$5652.26,WHITE,05/28/1923
1350,Chester,Holt,18,Nako Heights,Asadapari,SD,42212,$1545.55,RED,01/24/1908
1351,Darrell,Manning,47,Cavsi Court,Eweduzap,AZ,07896,$5590.54,GREEN,10/07/1908
1352,Henry,Hicks,62,Cuzuv Drive,Focaasa,TN,22682,$7463.58,RED,02/16/2022
1353,Nellie,Butler,62,Wenet Square,Sejtugge,KS,44136,$7437.63,YELLOW,02/25/1906
1354,Marguerite,Tucker,60,Rajfe Loop,Sucruhha,NV,19599,$3285.54,YELLOW,11/12/2052
1355,Sadie,Castro,52,Inogi Place,Kavnapaw,GA,00854,$2994.59,WHITE,04/14/1950
1356,Bill,Young,24,Hojam Circle,Kidhogpe,KY,19302,$5594.75,RED,02/27/2039
1357,Amanda,Brooks,31,Zozoz Trail,Bifopezu,KS,14294,$6846.27,WHITE,01/13/1977
1358,Arthur,Woods,18,Zutger Circle,Coudeju,CT,11005,$5933.12,GREEN,09/21/1925
1359,Ricky,Banks,50,Zilsun Loop,Fojtimur,WV,13882,$7679.61,BLUE,08/12/1980
1360,Lina,Sutton,58,Rosu Avenue,Fufgetdo,OR,94832,$9203.42,YELLOW,10/27/1919
1361,Roxie,Marshall,49,Dina Drive,Cuobaosi,KS,60625,$9077.47,WHITE,01/31/1995
1362,Christine,Austin,36,Muhlu Loop,Gaisam,ID,27722,$7324.25,GREEN,07/27/1950
1363,Bertie,Schneider,23,Laher Glen,Benkapaj,ID,48190,$8169.34,RED,06/07/1980
1364,Fannie,Shelton,57,Zalum Loop,Ofijokdac,MT,31571,$6265.31,BLUE,08/19/1960
1365,Maurice,Holland,60,Kefu Key,Kupatijod,KS,37415,$3942.58,GREEN,06/04/1951
1366,Eliza,Casey,41,Nofkef Drive,Mibauwo,ND,23030,$6053.52,YELLOW,09/09/1954
1367,Maggie,Wong,45,Ripru Boulevard,Isegupzaf,TN,59167,$3650.14,GREEN,07/23/1986
1368,Georgia,Newman,19,Egoje Parkway,Ciagalif,WI,18850,$9031.72,GREEN,06/07/1977
1369,Grace,Ryan,19,Dige River,Sejgewur,AZ,02023,$4101.09,WHITE,01/22/2023
1370,Derrick,Neal,33,Gire Path,Rerzizi,CA,11882,$1304.58,GREEN,08/12/1935
1371,Gregory,Luna,23,Logu Center,Volgafdu,MS,77103,$1601.39,BLUE,08/27/1906
1372,Billy,Cole,58,Rosem Park,Nuviod,TN,80850,$4280.66,BLUE,12/21/2011
1373,Billy,Watts,31,Gipmo Circle,Wizogot,MI,42887,$9706.97,YELLOW,07/30/2042
1374,Katharine,Warner,60,Murful Loop,Anahiru,GA,02466,$354.32,YELLOW,08/11/2004
1375,Scott,Murphy,44,Sezvi Loop,Jerohi,AR,14052,$267.26,BLUE,12/15/1949
1376,Cole,McKinney,51,Fapi Pass,Cilrizo,VA,24524,$5235.27,WHITE,12/04/1973
1377,Susie,Ortega,40,Vowi Lane,Hupora,VA,28968,$943.15,WHITE,04/03/2049
1378,Lewis,Little,35,Rijzom Pass,Cikeig,NC,75988,$1589.63,BLUE,10/01/1955
1379,Agnes,Ruiz,43,Miciw Glen,Pewapsi,NJ,13216,$8817.84,WHITE,04/17/1970
1380,Christian,Neal,24,Zuilo Grove,Gukbike,NE,48437,$1612.43,BLUE,09/13/2017
1381,Derek,Parker,62,Uzofah Glen,Teigusar,CA,85040,$7501.64,WHITE,02/08/2038
1382,Alma,Hernandez,23,Gufbo Parkway,Zubobes,AL,67373,$3469.86,WHITE,12/16/2058
1383,Lawrence,Mason,24,Ruhoh View,Musocan,MN,04051,$203.39,WHITE,10/30/2035
1384,Eula,Mann,51,Vomipo Highway,Zidlejug,GA,83208,$1954.41,BLUE,05/08/1956
1385,Vincent,Allison,51,Tiizi Ridge,Olvocven,VT,14605,$9233.19,GREEN,06/19/2053
1386,Aiden,Moreno,22,Erzu Manor,Segkigdif,ID,64864,$5401.59,BLUE,04/24/1975
1387,Floyd,Higgins,31,Voal Path,Valanu,OR,92836,$2243.62,YELLOW,04/25/1942
1388,Duane,Rivera,65,Mevfud Boulevard,Liazooz,TX,03887,$5882.84,GREEN,07/01/1969
1389,Zachary,Ramos,50,Ikano Pass,Etefoknoj,NY,22709,$8978.27,WHITE,08/25/2043
1390,Lucy,Bowen,23,Fomep Road,Luronag,WY,48869,$1272.67,RED,01/15/1955
1391,Jayden,Edwards,42,Gihkid Mill,Deligvi,TN,64364,$2801.07,WHITE,08/18/1963
1392,Minnie,Flores,62,Vorora Turnpike,Turujge,ME,60577,$3867.38,GREEN,06/10/2039
1393,Ethel,Torres,32,Goewa Lane,Cujehto,WA,04925,$8431.74,RED,02/19/2051
1394,Genevieve,Simon,64,Huduc View,Nuruap,OH,97682,$5502.38,GREEN,06/29/1963
1395,Lillian,Figueroa,25,Rughaj Loop,Simnatod,ND,21410,$514.52,GREEN,06/18/2016
1396,Nellie,Davidson,26,Duhpoj Grove,Misleig,FL,45224,$6385.97,WHITE,09/04/1922
1397,Alexander,Elliott,45,Zapita Loop,Fipefli,OR,62289,$141.97,YELLOW,06/24/1911
1398,Arthur,Haynes,27,Voigo Turnpike,Ciwsafa,DE,55366,$2034.64,BLUE,07/07/1972
1399,Keith,Vargas,48,Ruhe Terrace,Buwvula,AZ,80441,$3266.64,YELLOW,08/27/1980
1400,Anne,George,19,Wero Mill,Gochimo,NC,45049,$813.14,BLUE,09/02/1964
1401,Ethan,Harrison,31,Nedvo Center,Irjepsir,CT,06631,$5212.97,BLUE,06/07/2059
1402,Robert,Holt,63,Vufor Road,Dapvudum,RI,68133,$5070.57,WHITE,10/11/1999
1403,Cole,Parker,36,Fuem Ridge,Pizoltaw,MN,98872,$3932.37,RED,11/18/1969
1404,Jacob,Parker,38,Ciuvo Parkway,Bidavrev,NM,37839,$9003.83,YELLOW,01/24/1956
1405,Ethan,Patrick,52,Upac Path,Vazbicid,OR,62654,$4553.73,YELLOW,04/23/2002
1406,Paul,Wong,34,Jatmo Pass,Pebiso,KS,69488,$8289.57,RED,01/25/2053
1407,Evelyn,Hogan,26,Ehohe Extension,Pevallab,TX,67363,$4464.65,GREEN,12/26/1932
1408,Derek,Warren,62,Besmep Heights,Nocoun,PA,42333,$1727.01,GREEN,12/27/1974
1409,Sally,Webb,53,Haike Boulevard,Avidogek,CT,14623,$5822.59,YELLOW,06/06/2056
1410,Clayton,Diaz,64,Tudej Junction,Vupzinbok,OK,36544,$2672.07,RED,04/02/1952
1411,Belle,Huff,61,Lujepe Drive,Hawcuwad,SC,72865,$1869.61,RED,12/01/2021
1412,Billy,Ortiz,20,Upouze Circle,Cunuvfe,VA,97593,$5644.81,YELLOW,07/25/1981
1413,Marvin,Marshall,22,Aftas Loop,Lunhute,ID,06261,$2139.67,YELLOW,11/30/2001
1414,Ernest,Huff,32,Ideli Drive,Uzalapow,NJ,59915,$9612.64,WHITE,01/06/1971
1415,Lou,Ferguson,19,Zuzir Center,Dipenare,SD,50620,$3557.03,GREEN,01/02/1906
1416,Richard,Lindsey,64,Dawmow Park,Tucvuubi,OR,43291,$5156.79,BLUE,05/17/1952
1417,Bertha,Joseph,34,Erle Heights,Rakuhha,DE,53262,$9625.79,YELLOW,08/16/2061
1418,Dean,Watkins,24,Goti Mill,Nowjekgu,AZ,58134,$9058.22,WHITE,10/01/2036
1419,John,Summers,59,Beram Boulevard,Icsune,MN,86024,$5787.23,BLUE,08/12/1941
1420,Melvin,Moran,24,Nagov Highway,Cavcoru,ID,98843,$7301.48,WHITE,11/02/2060
1421,Susan,Rogers,65,Paje River,Luhduvajo,MO,23582,$5756.55,YELLOW,01/10/2000
1422,Angel,Moody,24,Edinem Center,Vetefdeb,WY,72973,$3788.53,RED,08/08/2021
1423,Effie,Estrada,46,Kufu Place,Carujru,KS,57747,$6505.80,RED,07/06/2019
1424,Maude,Sandoval,39,Mukap Circle,Docgafton,SD,20335,$3356.36,GREEN,08/26/1949
1425,Curtis,Wolfe,63,Tuwiw Square,Okecotek,DC,06762,$7486.80,GREEN,09/22/1955
1426,Lucile,Daniel,46,Liel Court,Vocuwwe,CO,05549,$5441.68,RED,07/22/2064
1427,Lucinda,Walton,50,Bafna Heights,Sivobif,WV,52966,$3943.98,BLUE,01/29/1965
1428,Mabel,Flowers,19,Satog Square,Nisusanol,SC,38275,$3162.65,BLUE,07/18/2068
1429,Antonio,Stokes,26,Behfo Pike,Wiwiuh,NV,02688,$236.42,BLUE,08/14/1914
1430,Herman,King,22,Awarow Plaza,Bozmovi,MS,42776,$2030.48,WHITE,04/10/1930
1431,Aaron,Russell,36,Kekva Grove,Pubjepvud,TX,12719,$5079.91,YELLOW,11/24/2040
1432,Randall,Pittman,39,Pemud Terrace,Ruwijoj,MN,22621,$1725.74,RED,05/19/1956
1433,Nathaniel,Gibbs,30,Ceuta Drive,Fufsovam,KS,65646,$2671.65,RED,08/24/1980
1434,Linnie,Little,30,Muidi Turnpike,Hajazo,HI,09222,$4965.43,BLUE,06/22/1968
1435,Francisco,Mitchell,20,Dekek Circle,Vukekiek,NY,23602,$4427.70,YELLOW,08/02/2048
1436,Josephine,Jimenez,64,Sesog View,Ohsisi,MS,01676,$9118.70,GREEN,04/23/1924
1437,Thomas,Montgomery,58,Memok Place,Piwemuava,NH,43596,$7543.04,BLUE,01/13/1973
1438,Miguel,Harmon,26,Panu Place,Zecaveb,UT,05174,$9577.05,RED,12/17/2057
1439,Emily,Rice,39,Junok View,Vohugo,VT,98405,$2701.82,RED,06/03/2019
1440,Hilda,Marshall,28,Puhse Point,Acupirek,MD,50745,$436.19,GREEN,03/19/2030
1441,Brian,Barker,60,Ukelal Pass,Jolzuona,WA,16337,$9698.56,GREEN,11/19/1935
1442,Lewis,Jefferson,47,Odotoc Place,Pugesiap,NV,85620,$2228.67,GREEN,09/30/1972
1443,Roxie,Hines,55,Nuod Pass,Kecovris,UT,35422,$5408.46,GREEN,10/18/1981
1444,Wayne,Johnston,23,Iliz Park,Afatuwu,NY,97551,$7860.57,BLUE,06/27/1998
1445,Rena,Norman,42,Tuguso Boulevard,Odgano,SC,59614,$6702.13,RED,12/03/2025
1446,Blanche,Myers,59,Pettah Glen,Favrooho,NJ,90350,$6146.86,RED,03/18/1973
1447,Lizzie,Watts,46,Baici Junction,Nifiic,IL,70787,$553.46,RED,04/17/1993
1448,Christian,Potter,47,Afobuk Pass,Koconge,ND,28680,$8159.05,GREEN,11/25/1932
1449,Ann,Hopkins,47,Camev Point,Lanezbuz,KS,97534,$1328.75,YELLOW,10/14/1999
1450,Joseph,Hill,65,Jetut Avenue,Putipno,MO,12280,$3707.44,GREEN,04/16/1963
1451,Jeff,Rios,22,Pimu Pass,Kelhoud,FL,46651,$5283.54,YELLOW,05/05/1914
1452,Ann,Phelps,53,Heke Terrace,Buhageco,NE,60304,$8351.02,WHITE,08/04/1967
1453,Della,Richardson,54,Fiwke Glen,Iduiboeho,SC,38334,$3838.26,GREEN,01/08/1963
1454,Jeff,Duncan,50,Komevo Path,Hukosod,WY,01347,$4538.53,GREEN,02/28/2024
1455,Polly,Cruz,29,Riugi Plaza,Udhebroc,MA,73595,$4588.89,RED,02/13/1920
1456,Joel,Roy,43,Tiru Road,Dapacdi,DE,29231,$8656.70,YELLOW,04/05/1901
1457,Leona,Allen,44,Paluh Path,Boebreh,WY,12572,$6333.09,GREEN,05/02/1913
1458,Sylvia,Vaughn,39,Hoif Road,Wawdurhan,AK,37995,$9697.49,WHITE,02/13/2026
1459,Virgie,Stevens,45,Dotmen Mill,Tuuhede,VT,86549,$8782.89,GREEN,01/13/1927
1460,Fanny,Clayton,46,Beku Center,Uzziko,VA,33895,$5144.19,RED,10/17/1930
1461,Kevin,Harvey,55,Daat Trail,Mezuum,IN,59616,$203.44,RED,12/30/1939
1462,Ralph,Copeland,31,Cellu Manor,Gatloho,GA,18966,$2539.26,YELLOW,06/10/1903
1463,Jesus,Schultz,39,Jujnag Street,Dudogluz,IL,87249,$7810.08,BLUE,01/11/2003
1464,Harriett,Atkins,40,Jokav Glen,Vafkerub,OR,72723,$6458.45,RED,07/30/1916
1465,Gregory,Curtis,60,Dawi View,Tawbocpi,RI,17153,$5828.48,BLUE,05/17/1943
1466,Vera,Hale,35,Gelur Lane,Orkugzoj,MI,20568,$8042.26,WHITE,06/19/2004
1467,Norman,Alvarado,26,Ceji Key,Wodafejok,MI,83439,$8661.54,BLUE,11/04/1926
1468,Harry,Mason,29,Ofiar Path,Peuruget,NC,23608,$2172.64,RED,04/14/1908
1469,Leah,Cox,40,Fugru Manor,Ciofgop,CA,79048,$4612.00,YELLOW,06/12/2004
1470,Aaron,Hill,24,Pihel Point,Worsuen,CT,17052,$7228.98,WHITE,07/23/1911
1471,Joe,Hardy,47,Fevi Boulevard,Cuukeone,NV,91595,$5498.85,BLUE,03/05/1962
1472,Victoria,Ingram,37,Boti Glen,Bawhadoh,MT,17652,$6035.10,GREEN,12/07/1911
1473,Eula,Aguilar,25,Naczu Pike,Sibeko,HI,96292,$7075.31,GREEN,03/30/1932
1474,Adelaide,McGuire,25,Rouf Highway,Wuhadjih,CO,66189,$9145.35,RED,12/07/2058
1475,Luis,Bass,43,Camif Place,Ogmena,AL,66650,$7315.87,RED,02/22/2022
1476,Hallie,Burke,57,Jabuz Drive,Dalcukjop,VT,23684,$3008.32,YELLOW,12/27/2000
1477,Jennie,Shelton,62,Sovwol Parkway,Emabohur,WI,22613,$360.74,GREEN,01/29/2038
1478,Adeline,Lynch,24,Noca Parkway,Vatebvic,ME,22990,$717.79,BLUE,04/06/2052
1479,Stephen,Barber,58,Uhabo Parkway,Hoofce,WY,71048,$8982.91,GREEN,11/30/2023
1480,Sophia,Ross,40,Wagi View,Hahmiswer,KY,78167,$384.95,RED,08/11/1998
1481,Jeremy,Baldwin,34,Lewi Square,Moteawo,MT,76855,$1827.66,BLUE,11/11/1989
1482,Ella,White,34,Dagano View,Kopakan,MO,06047,$3789.79,YELLOW,05/09/2059
1483,Nathaniel,Dunn,35,Igjib View,Gitiwre,VA,97123,$4644.21,BLUE,05/25/2046
1484,Eric,Mitchell,25,Ureake Mill,Zopiruda,ND,35921,$4102.91,GREEN,05/23/2038
1485,Rhoda,Mason,42,Lapohu Circle,Retofak,SD,25327,$9835.19,BLUE,11/11/2016
1486,Bruce,Horton,18,Gosnog Court,Pehlevu,NM,26296,$6201.47,RED,10/26/1947
1487,Charlie,Ballard,51,Zuvi Heights,Pacbampun,OK,08167,$6526.88,WHITE,11/20/1937
1488,Mabel,Jimenez,30,Ogihew Parkway,Tobtijzu,CA,48380,$4306.11,GREEN,08/16/2019
1489,Ann,Sherman,56,Jamaj Glen,Votanocu,LA,08461,$133.07,WHITE,08/07/2061
1490,Claudia,Yates,18,Ebpin Point,Wuwajoja,SC,36160,$7951.94,BLUE,04/18/1934
1491,May,Ward,47,Wenup Parkway,Zemeta,WV,37221,$5037.46,GREEN,04/03/2011
1492,Fannie,Moran,50,Coofo Mill,Ingusej,ID,84154,$7224.10,YELLOW,10/10/1901
1493,Glenn,Wade,43,Borol Terrace,Bevinkat,OH,66787,$8989.33,YELLOW,02/21/1924
1494,Ernest,Hunter,60,Alkeg Place,Bomueh,MO,26917,$3892.55,RED,03/13/1908
1495,Andrew,Payne,49,Nutoz Pike,Boidba,CT,52575,$7934.62,BLUE,10/25/2027
1496,Lenora,Patrick,60,Jabhuj Highway,Gagtemse,MA,85586,$9753.18,WHITE,05/22/1976
1497,Craig,Boone,33,Itwu Drive,Sacoika,ID,49627,$7577.90,WHITE,08/29/1939
1498,Dustin,Wade,60,Igucag Grove,Fidtoub,NY,10990,$1795.77,WHITE,01/12/1972
1499,Leon,Hammond,29,Rebtop Road,Vabadzu,ME,97982,$7268.12,GREEN,06/09/1953
1500,Mark,Perez,27,Suuli Path,Ocaeswu,MI,50461,$9000.83,RED,07/02/2065
1501,Craig,Haynes,25,Mudta View,Lirebedo,NJ,96600,$6121.22,WHITE,03/31/2016
1502,Gilbert,Nguyen,19,Bemo Highway,Udowofuk,IA,79747,$6889.76,GREEN,04/06/1997
1503,Mattie,Delgado,29,Ehke Manor,Anopucmu,ID,74393,$7206.86,BLUE,04/28/2028
1504,Georgia,Walsh,52,Vimpid Terrace,Noapusa,NE,85789,$9173.06,BLUE,08/02/1923
1505,Tillie,Warner,39,Misme Pass,Fofkugfuk,MS,75426,$3400.89,BLUE,01/07/1924
1506,Alice,Wheeler,33,Kovle Key,Cizozheb,OK,72009,$1075.17,GREEN,03/26/2050
1507,Benjamin,Santos,24,Ulaari Center,Fevjobaw,MD,39653,$167.17,GREEN,11/24/1975
1508,Owen,Flowers,55,Heka Court,Dottujo,VT,43556,$3075.57,BLUE,05/01/1990
1509,Isabel,Griffith,58,Foka Glen,Bukanum,MS,07886,$5018.45,GREEN,10/25/1993
1510,Louis,Sherman,27,Pukud River,Usnubzu,LA,13078,$6521.46,WHITE,08/13/1923
1511,Isabella,Estrada,39,Tupob Park,Osehiha,GA,06459,$7911.50,GREEN,07/05/1985
1512,Harvey,Black,45,Imawul Way,Macuzu,DE,98721,$6795.89,GREEN,06/21/1996
1513,Cecelia,Mathis,46,Ukcuh Manor,Aziukepeh,UT,29894,$9144.30,WHITE,10/19/1954
1514,Bertie,Quinn,23,Nusje Park,Dilloce,WV,80476,$4264.03,BLUE,03/05/1990
1515,Bertha,Brady,63,Pejit Parkway,Fapfacsan,KS,62180,$9542.21,WHITE,12/23/2050
1516,Leo,Cunningham,33,Natbez Key,Hadkujbam,OR,22407,$7424.38,RED,07/23/2012
1517,Minnie,Reynolds,47,Haga Drive,Dutfese,WI,80640,$1838.48,GREEN,02/16/1965
1518,Max,Murray,32,Holdan Lane,Zopidos,IL,14777,$6473.56,RED,11/11/1950
1519,Eleanor,Castillo,34,Sufcef Junction,Losridzah,IN,32404,$2030.62,GREEN,02/12/1985
1520,Ralph,Rowe,45,Wijoju Highway,Zeizela,PA,97615,$7745.87,YELLOW,12/07/2066
1521,Joseph,Phillips,31,Omibet Glen,Ijwabpal,HI,16917,$2873.04,RED,11/02/2025
1522,Johnny,Aguilar,46,Lotrek Junction,Sosworpi,VA,71558,$8782.04,WHITE,08/02/2057
1523,Janie,Malone,55,Idace Pass,Bakimka,MO,98515,$7834.72,WHITE,05/27/2068
1524,Aiden,Greer,65,Zuhu Drive,Codfipzo,HI,03794,$4333.00,RED,08/23/1940
1525,Franklin,Clayton,44,Dolje Junction,Kefahwav,DC,59533,$4226.40,GREEN,07/27/1965
1526,Lily,Medina,18,Hisuz Point,Kipjisuc,NE,16681,$7639.41,WHITE,04/11/1979
1527,Donald,Tyler,50,Tepu Lane,Mipkideri,NC,22115,$5292.60,WHITE,08/17/1976
1528,Donald,Walker,59,Tobwe Circle,Seiziune,OR,62254,$1472.44,YELLOW,04/05/2004
1529,Rachel,Mann,65,Uvebat Place,Koapuhok,SC,16824,$619.07,WHITE,01/28/2068
1530,Myrtie,Harris,45,Kinof Trail,Lahagnub,NJ,60832,$2858.30,WHITE,06/20/1905
1531,Leila,Perkins,54,Aslin Center,Joktuwosi,OR,92363,$6512.47,YELLOW,01/28/1910
1532,Isabel,Sparks,30,Izais Trail,Goozulu,KS,62626,$2642.56,RED,04/04/2069
1533,Flora,Stokes,53,Jonsen Manor,Wumahu,MN,59493,$8231.84,GREEN,05/11/1902
1534,Earl,Lawson,63,Luhem Park,Harcebes,IL,01114,$9742.33,YELLOW,03/07/1905
1535,Eva,Phillips,33,Winsag Key,Cuvnefu,MN,64682,$6335.27,RED,07/15/1925
1536,Victor,Douglas,44,Vanut Highway,Alogmi,MA,26437,$8963.08,GREEN,02/10/2000
1537,Alex,Daniel,37,Hodnak Avenue,Nisluscak,WI,79909,$7127.24,WHITE,06/17/2010
1538,Sylvia,Nguyen,57,Refhoh Heights,Nehuef,SC,00662,$7895.74,RED,01/26/2058
1539,Donald,Casey,18,Bamji Pass,Fifkubo,MS,15057,$2311.96,WHITE,02/23/1986
1540,Winifred,Hopkins,46,Jidut View,Tegalvu,WI,96720,$1585.18,GREEN,04/18/1956
1541,Josephine,Curtis,42,Eteuto Place,Cackojjec,OK,44254,$3293.16,GREEN,02/17/2030
1542,Jon,Hammond,58,Zolbaz Pike,Veinejo,MN,74555,$5495.53,WHITE,05/30/2065
1543,Etta,Collier,18,Hevnon Grove,Saipigi,CA,48371,$9930.11,YELLOW,11/24/2043
